trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
44,False,"{'a': 0.5, 'e': 0.0005165289256198347}",20,0,27.786887302383416,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.0004938271604938272}",30,9,2.2748769482921167,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.0004725897920604915}",25,14,19.89633942547637,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.0004526935264825713}",25,0,36.1417648703774,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.00043402777777777775}",20,0,27.422188030497246,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.00041649312786339027}",20,6,21.775416484171238,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.0004}",25,5,26.576117765148393,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.00038446751249519417}",25,0,31.631249778693892,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.0003698224852071006}",20,16,6.430761257160584,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.000355998576005696}",35,19,27.577638902768808,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.0003429355281207133}",25,0,36.59635172467878,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.00033057851239669424}",20,0,27.869270200305195,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.00031887755102040814}",25,9,25.686100016123508,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.0003077870113881194}",25,14,-4.9189949363720205,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.00029726516052318666}",30,4,25.1275449414641,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.0002872737719046251}",20,0,15.86960983215564,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.0002777777777777778}",20,14,14.277372886957085,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.0002687449610319806}",20,1,25.44778025657967,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.00026014568158168577}",25,0,8.782387911699947,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.0002519526329050139}",20,0,26.62771808291813,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.000244140625}",25,7,26.606342815618092,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.00023668639053254438}",25,0,33.33488122676626,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.0002295684113865932}",30,7,34.573478943692045,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.00022276676319893073}",20,0,29.835418455684056,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.00021626297577854672}",30,20,15.412362494177955,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.00021003990758244065}",30,14,26.43666996651388,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.00020408163265306123}",30,24,11.536406407697392,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.00019837333862328903}",20,0,31.87280794542805,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.00019290123456790122}",20,14,12.636266115563195,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.00018765246762994934}",20,0,22.486610347970867,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.00018261504747991235}",25,0,39.133102294635876,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.00017777777777777779}",20,7,20.508217947782317,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.00017313019390581717}",25,0,40.90438513582349,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.00016866250632484398}",35,0,8.91530147774545,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.0001643655489809336}",30,0,45.070646174012275,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.0001602307322544464}",25,0,32.012566210290906,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.00015625}",20,14,10.510298481815397,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.00015241579027587258}",20,10,17.103731139216862,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.000148720999405116}",25,15,18.013831773495138,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.00014515894904920887}",20,6,21.154228275593056,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.0001417233560090703}",20,0,20.08461661155821,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.0001384083044982699}",20,11,18.96394454906773,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.00013520822065981613}",20,8,18.543830532809253,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.0001321178491214163}",25,0,37.690300719013074,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.00012913223140495868}",30,20,21.34135452365149,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.00012624668602449185}",25,11,27.052718244390547,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.0001234567901234568}",25,0,39.66300635646757,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.00012075836251660427}",20,0,27.84551923346637,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.00011814744801512288}",25,12,21.025514934287923,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.00011562030292519366}",20,0,9.043580553336708,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.00011317338162064282}",30,0,39.37178426910867,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.00011080332409972299}",20,12,11.787191203799154,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.00010850694444444444}",20,0,23.33927514108762,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.00010628122010840685}",20,8,23.180839119732468,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.00010412328196584757}",20,7,18.004142730351838,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.00010203040506070809}",20,9,18.384257881518046,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.0001}",20,0,27.676556190366462,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 9.802960494069208e-05}",25,20,9.745005107275272,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,0,45.45730199236838,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,2,36.90116469552398,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,0,33.70025871876948,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,6,22.724796783331858,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,0,28.375312917540743,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,33.947397715996765,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,5,45.14940019205856,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,0,35.43079897439218,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,21,15.70318670521032,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,0,41.0086853232624,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
